# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.after.loading.ms,1775718070813000000,1775718130816000000,0
jps.global.get.libraries.ms,1775718070813000000,1775718130816000000,1
jps.modifiable.module.model.bridge.load.module.ms,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1775718070813000000,1775718130816000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1775718070813000000,1775718130816000000,81
jps.load.initial.state.ms,1775718070813000000,1775718130816000000,5
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775718070813000000,1775718130816000000,16
jps.global.get.library.ms,1775718070813000000,1775718130816000000,0
jps.reload.project.entities.ms,1775718070813000000,1775718130816000000,0
jps.modifiable.module.model.bridge.renaming.ms,1775718070813000000,1775718130816000000,0
jps.library.entities.serializer.save.entities.ms,1775718070813000000,1775718130816000000,0
workspaceModel.load.cache.from.file.ms,1775718070813000000,1775718130816000000,0
workspaceModel.orphan.listener.update.ms,1775718070813000000,1775718130816000000,1
workspaceModel.global.apply.state.to.project.ms,1775718070813000000,1775718130816000000,0
jps.modifiable.module.model.bridge.new.module.ms,1775718070813000000,1775718130816000000,30
workspaceModel.global.updates.ms,1775718070813000000,1775718130816000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775718070813000000,1775718130816000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775718070813000000,1775718130816000000,0
jps.facet.change.listener.before.change.events.ms,1775718070813000000,1775718130816000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1775718070813000000,1775718130816000000,0
jps.apply.loaded.storage.ms,1775718070813000000,1775718130816000000,996
jps.global.handle.changed.events.ms,1775718070813000000,1775718130816000000,0
jps.app.storage.content.reader.load.component.ms,1775718070813000000,1775718130816000000,0
